Symbol,Company Name,Industry,Index,Sector
360ONE.NS,360 ONE WAM Ltd.,Financial Services,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
3MINDIA.NS,3M India Ltd.,Diversified,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
AADHARHFC.NS,Aadhar Housing Finance Ltd.,Financial Services,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",[]
AARTIDRUGS.NS,Aarti Drugs Ltd.,Healthcare,['NIFTYTOTALMARKET'],[]
AARTIIND.NS,Aarti Industries Ltd.,Chemicals,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",['NIFTY_CHEMICALS']
AARTIPHARM.NS,Aarti Pharmalabs Ltd.,Healthcare,['NIFTYTOTALMARKET'],[]
AAVAS.NS,Aavas Financiers Ltd.,Financial Services,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
ABB.NS,ABB India Ltd.,Capital Goods,"['NIFTY200', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTYNEXT50', 'NIFTY500']",[]
ABBOTINDIA.NS,Abbott India Ltd.,Healthcare,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']","['NIFTY_HEALTHCARE', 'NIFTY_PHARMA']"
ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
ABDL.NS,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,['NIFTYTOTALMARKET'],[]
ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,Consumer Services,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
ABREL.NS,Aditya Birla Real Estate Ltd.,Forest Materials,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",[]
ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.,Financial Services,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
ACC.NS,ACC Ltd.,Construction Materials,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",['NIFTY_CEMENT']
ACE.NS,Action Construction Equipment Ltd.,Capital Goods,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
ACI.NS,Archean Chemical Industries Ltd.,Chemicals,['NIFTYTOTALMARKET'],[]
ACMESOLAR.NS,ACME Solar Holdings Ltd.,Power,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
ACUTAAS.NS,Acutaas Chemicals Ltd.,Healthcare,['NIFTYTOTALMARKET'],[]
ADANIENSOL.NS,Adani Energy Solutions Ltd.,Power,"['NIFTY200', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTYNEXT50', 'NIFTY500']",[]
ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining,"['NIFTY200', 'NIFTY50', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTY500']",['NIFTY_METAL']
ADANIGREEN.NS,Adani Green Energy Ltd.,Power,"['NIFTY200', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTYNEXT50', 'NIFTY500']",[]
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Services,"['NIFTY200', 'NIFTY50', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTY500']",[]
ADANIPOWER.NS,Adani Power Ltd.,Power,"['NIFTY200', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTYNEXT50', 'NIFTY500']",[]
ADVENZYMES.NS,Advanced Enzyme Tech Ltd.,Healthcare,['NIFTYTOTALMARKET'],[]
AEGISLOG.NS,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",['NIFTY_OILANDGAS']
AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",[]
AETHER.NS,Aether Industries Ltd.,Chemicals,['NIFTYTOTALMARKET'],[]
AFCONS.NS,Afcons Infrastructure Ltd.,Construction,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",[]
AFFLE.NS,Affle 3i Ltd.,Information Technology,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",[]
AGARWALEYE.NS,Dr. Agarwal's Health Care Ltd.,Healthcare,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
AGI.NS,AGI Greenpac Ltd.,Capital Goods,['NIFTYTOTALMARKET'],[]
AHLUCONT.NS,Ahluwalia Contracts (India) Ltd.,Construction,['NIFTYTOTALMARKET'],[]
AIAENG.NS,AIA Engineering Ltd.,Capital Goods,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
AIIL.NS,Authum Investment & Infrastructure Ltd.,Financial Services,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,Healthcare,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",['NIFTY_PHARMA']
AJAXENGG.NS,Ajax Engineering Ltd.,Capital Goods,['NIFTYTOTALMARKET'],[]
AKUMS.NS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
AKZOINDIA.NS,Akzo Nobel India Ltd.,Consumer Durables,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
ALIVUS.NS,Alivus Life Sciences Ltd.,Healthcare,['NIFTYTOTALMARKET'],[]
ALKEM.NS,Alkem Laboratories Ltd.,Healthcare,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']","['NIFTY_HEALTHCARE', 'NIFTY_PHARMA']"
ALKYLAMINE.NS,Alkyl Amines Chemicals Ltd.,Chemicals,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
ALLCARGO.NS,Allcargo Logistics Ltd.,Services,['NIFTYTOTALMARKET'],[]
ALOKINDS.NS,Alok Industries Ltd.,Textiles,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
